PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
85,1.0,3,2693.8399999999965,0,Task,image_38.jpg,vertical,inverted,bottom,Quadrant 4,7.0,4.0,5–8
85,2.0,1,2216.8399999999965,1,Task,image_110.jpg,horizontal,inverted,right,Quadrant 1,14.0,1.0,13–16
85,3.0,3,2548.1399999999994,0,Task,image_31.jpg,vertical,original,top,Quadrant 1,34.0,1.0,33-49
85,4.0,4,2366.459999999992,0,Task,image_26.jpg,vertical,original,top,Quadrant 3,31.0,3.0,25-32
85,5.0,4,2656.4600000000064,1,Task,image_94.jpg,horizontal,original,left,Quadrant 4,39.0,4.0,33-49
85,6.0,1,2495.8800000000047,1,Task,image_123.jpg,horizontal,inverted,right,Quadrant 1,29.0,1.0,25-32
85,7.0,2,1683.0599999999977,1,Task,image_1.jpg,vertical,original,top,Quadrant 2,1.0,2.0,1–4
85,8.0,4,2924.740000000005,1,Task,image_111.jpg,horizontal,inverted,right,Quadrant 4,13.0,4.0,13–16
85,9.0,4,2448.7599999999948,1,Task,image_16.jpg,vertical,original,top,Quadrant 4,19.0,4.0,17–20
85,10.0,3,1884.479999999996,1,Task,image_75.jpg,horizontal,original,left,Quadrant 3,9.0,3.0,9–12
85,11.0,4,1901.520000000004,1,Task,image_2.jpg,vertical,original,top,Quadrant 4,3.0,4.0,1–4
85,12.0,4,2869.3399999999965,0,Task,image_125.jpg,horizontal,inverted,right,Quadrant 3,35.0,3.0,33-49
85,13.0,4,2415.0,1,Task,image_9.jpg,vertical,original,top,Quadrant 4,10.0,4.0,9–12
85,14.0,3,2904.520000000004,1,Task,image_108.jpg,horizontal,inverted,right,Quadrant 3,15.0,3.0,13–16
85,15.0,3,1996.3199999999924,1,Task,image_11.jpg,vertical,original,top,Quadrant 3,9.0,3.0,9–12
85,16.0,2,2544.9600000000064,0,Task,image_53.jpg,vertical,inverted,bottom,Quadrant 4,22.0,4.0,21–24
85,17.0,4,2236.600000000006,0,Task,image_115.jpg,horizontal,inverted,right,Quadrant 1,18.0,1.0,17–20
85,18.0,1,2782.699999999997,0,Task,image_119.jpg,horizontal,inverted,right,Quadrant 2,21.0,2.0,21–24
85,19.0,2,2004.679999999993,1,Task,image_97.jpg,horizontal,inverted,right,Quadrant 2,1.0,2.0,1–4
85,20.0,2,2053.3600000000006,1,Task,image_49.jpg,vertical,inverted,bottom,Quadrant 2,20.0,2.0,17–20
85,21.0,1,2083.5,1,Task,image_95.jpg,horizontal,original,left,Quadrant 1,34.0,1.0,33-49
85,22.0,4,1860.300000000003,1,Task,image_48.jpg,vertical,inverted,bottom,Quadrant 4,19.0,4.0,17–20
