PID,trial,response,rt,accuracy,display,filename,target_size,colour,quadrant,num_distractors,answer,distractor_bin
47,1.0,3,990.199999976161,0,Task,image_83.jpg,medium,green,Quadrant 2,33.0,2.0,33-36
47,2.0,2,1048.5999999761552,0,Task,image_17.jpg,small,green,Quadrant 4,17.0,4.0,17–20
47,3.0,2,786.6999999880791,1,Task,image_64.jpg,medium,blue,Quadrant 2,20.0,2.0,17–20
47,4.0,2,950.699999976161,0,Task,image_2.jpg,small,green,Quadrant 4,2.0,4.0,1–4
47,5.0,3,1258.499999988082,1,Task,image_106.jpg,large,blue,Quadrant 3,11.0,3.0,9–12
47,6.0,2,911.3000000119208,0,Task,image_104.jpg,large,green,Quadrant 4,12.0,4.0,9–12
47,7.0,3,891.999999976164,1,Task,image_54.jpg,medium,green,Quadrant 3,7.0,3.0,5–8
47,8.0,2,992.0,1,Task,image_131.jpg,large,green,Quadrant 2,33.0,2.0,33-36
47,9.0,1,822.9000000119267,1,Task,image_99.jpg,large,blue,Quadrant 1,3.0,1.0,1–4
47,10.0,4,899.8999999761581,1,Task,image_141.jpg,large,red,Quadrant 4,46.0,4.0,45-49
47,11.0,2,1013.2999999880848,1,Task,image_70.jpg,medium,red,Quadrant 2,22.0,2.0,21–24
47,12.0,2,913.3999999999942,0,Task,image_37.jpg,small,red,Quadrant 1,39.0,1.0,37-40
47,13.0,2,1169.0,1,Task,image_26.jpg,small,green,Quadrant 2,28.0,2.0,25-28
47,14.0,4,1061.39999996424,1,Task,image_84.jpg,medium,green,Quadrant 4,40.0,4.0,37-40
47,15.0,1,668.2000000000116,1,Task,image_105.jpg,large,green,Quadrant 1,9.0,1.0,9–12
47,16.0,2,1027.800000011921,1,Task,image_44.jpg,small,red,Quadrant 2,49.0,2.0,45-49
47,17.0,2,625.3000000000029,1,Task,image_97.jpg,large,blue,Quadrant 2,4.0,2.0,1–4
47,18.0,4,1077.399999976158,0,Task,image_23.jpg,small,red,Quadrant 1,23.0,1.0,21–24
47,19.0,1,903.6000000000058,1,Task,image_77.jpg,medium,green,Quadrant 1,32.0,1.0,29-32
47,20.0,2,904.5999999761552,0,Task,image_34.jpg,small,red,Quadrant 1,36.0,1.0,33-36
47,21.0,1,1183.1000000000058,1,Task,image_66.jpg,medium,blue,Quadrant 1,18.0,1.0,17–20
47,22.0,1,856.1000000119238,1,Task,image_7.jpg,small,blue,Quadrant 1,8.0,1.0,5–8
47,23.0,2,1100.5999999642372,0,Task,image_20.jpg,small,red,Quadrant 4,21.0,4.0,21–24
47,24.0,2,1163.999999988082,1,Task,image_43.jpg,small,blue,Quadrant 2,44.0,2.0,41-44
47,25.0,2,837.5,0,Task,image_19.jpg,small,blue,Quadrant 3,19.0,3.0,17–20
47,26.0,1,692.2999999642343,0,Task,image_22.jpg,small,green,Quadrant 2,22.0,2.0,21–24
47,27.0,2,614.3999999999942,1,Task,image_127.jpg,large,blue,Quadrant 2,31.0,2.0,29-32
47,28.0,3,944.5,1,Task,image_80.jpg,medium,red,Quadrant 3,35.0,3.0,33-36
47,29.0,3,970.7999999880848,1,Task,image_87.jpg,medium,green,Quadrant 3,38.0,3.0,37-40
47,30.0,2,904.2999999999884,0,Task,image_50.jpg,medium,red,Quadrant 4,2.0,4.0,1–4
47,31.0,3,829.6000000000058,1,Task,image_48.jpg,medium,green,Quadrant 3,1.0,3.0,1–4
47,32.0,1,1184.999999976164,0,Task,image_45.jpg,small,green,Quadrant 4,46.0,4.0,45-49
47,33.0,4,930.0000000119326,1,Task,image_93.jpg,medium,blue,Quadrant 4,46.0,4.0,45-49
47,34.0,4,845.5999999642372,1,Task,image_81.jpg,medium,blue,Quadrant 4,34.0,4.0,33-36
47,35.0,2,1743.8999999880907,0,Task,image_41.jpg,small,blue,Quadrant 4,43.0,4.0,41-44
47,36.0,1,741.5999999642372,0,Task,image_74.jpg,medium,green,Quadrant 2,28.0,2.0,25-28
47,37.0,4,724.8999999999942,1,Task,image_52.jpg,medium,green,Quadrant 4,6.0,4.0,5–8
47,38.0,1,724.3999999880907,1,Task,image_71.jpg,medium,blue,Quadrant 1,23.0,1.0,21–24
47,39.0,4,1072.7999999761523,0,Task,image_6.jpg,small,green,Quadrant 3,7.0,3.0,5–8
47,40.0,1,635.3999999880907,0,Task,image_69.jpg,medium,green,Quadrant 3,24.0,3.0,21–24
47,41.0,2,511.6000000000058,1,Task,image_134.jpg,large,green,Quadrant 2,37.0,2.0,37-40
47,42.0,4,543.1999999880791,0,Task,image_5.jpg,small,green,Quadrant 2,5.0,2.0,5–8
47,43.0,1,531.1999999761465,1,Task,image_119.jpg,large,blue,Quadrant 1,23.0,1.0,21–24
47,44.0,1,925.5999999880733,1,Task,image_46.jpg,small,red,Quadrant 1,47.0,1.0,45-49
47,45.0,2,801.7999999999884,1,Task,image_49.jpg,medium,blue,Quadrant 2,4.0,2.0,1–4
47,46.0,1,990.0,1,Task,image_42.jpg,small,green,Quadrant 1,42.0,1.0,41-44
47,47.0,2,720.8999999761581,0,Task,image_62.jpg,medium,blue,Quadrant 4,15.0,4.0,13–16
47,48.0,3,754.0999999761698,0,Task,image_63.jpg,medium,green,Quadrant 2,16.0,2.0,13–16
47,49.0,4,646.7000000119151,1,Task,image_73.jpg,medium,blue,Quadrant 4,25.0,4.0,25-28
47,50.0,4,594.9000000119267,1,Task,image_100.jpg,large,red,Quadrant 4,6.0,4.0,5–8
47,51.0,3,692.6999999761465,1,Task,image_61.jpg,medium,red,Quadrant 3,13.0,3.0,13–16
47,52.0,3,906.6000000000058,0,Task,image_94.jpg,medium,green,Quadrant 1,47.0,1.0,45-49
47,53.0,3,878.9999999642314,1,Task,image_0.jpg,small,red,Quadrant 3,1.0,3.0,1–4
47,54.0,1,1145.5000000119326,0,Task,image_10.jpg,small,green,Quadrant 3,11.0,3.0,9–12
47,55.0,4,756.499999976164,0,Task,image_31.jpg,small,blue,Quadrant 2,31.0,2.0,29-32
47,56.0,3,674.1000000119093,1,Task,image_78.jpg,medium,blue,Quadrant 3,30.0,3.0,29-32
47,57.0,1,784.7000000119151,1,Task,image_130.jpg,large,red,Quadrant 1,36.0,1.0,33-36
47,58.0,2,849.6000000000058,0,Task,image_40.jpg,small,red,Quadrant 3,41.0,3.0,41-44
47,59.0,2,723.8999999880907,0,Task,image_33.jpg,small,green,Quadrant 4,34.0,4.0,33-36
47,60.0,2,662.8999999761581,1,Task,image_101.jpg,large,green,Quadrant 2,5.0,2.0,5–8
47,61.0,3,576.9000000119267,0,Task,image_55.jpg,medium,red,Quadrant 1,8.0,1.0,5–8
47,62.0,1,797.699999964243,0,Task,image_35.jpg,small,blue,Quadrant 2,33.0,2.0,33-36
47,63.0,4,816.6999999880791,1,Task,image_116.jpg,large,red,Quadrant 4,21.0,4.0,21–24
47,64.0,1,543.1999999880791,1,Task,image_90.jpg,medium,blue,Quadrant 1,42.0,1.0,41-44
47,65.0,2,761.6999999880791,1,Task,image_92.jpg,medium,red,Quadrant 2,49.0,2.0,45-49
47,66.0,3,746.999999976164,1,Task,image_32.jpg,small,green,Quadrant 3,35.0,3.0,33-36
47,67.0,2,571.7999999880849,1,Task,image_118.jpg,large,green,Quadrant 2,22.0,2.0,21–24
47,68.0,1,1068.8999999999942,1,Task,image_12.jpg,small,red,Quadrant 1,14.0,1.0,13–16
47,69.0,3,951.0999999880733,1,Task,image_95.jpg,medium,red,Quadrant 3,45.0,3.0,45-49
47,70.0,2,1033.5000000119326,0,Task,image_39.jpg,small,green,Quadrant 3,38.0,3.0,37-40
47,71.0,2,584.5,1,Task,image_112.jpg,large,red,Quadrant 2,20.0,2.0,17–20
47,72.0,2,652.7999999880849,1,Task,image_79.jpg,medium,green,Quadrant 2,31.0,2.0,29-32
47,73.0,4,653.3000000119209,1,Task,image_124.jpg,large,blue,Quadrant 4,29.0,4.0,29-32
47,74.0,2,952.6000000000058,1,Task,image_86.jpg,medium,blue,Quadrant 2,37.0,2.0,37-40
47,75.0,2,787.4999999642314,1,Task,image_139.jpg,large,blue,Quadrant 2,44.0,2.0,41-44
47,76.0,4,670.6999999880791,1,Task,image_68.jpg,medium,red,Quadrant 4,21.0,4.0,21–24
47,77.0,2,961.699999964243,0,Task,image_8.jpg,small,red,Quadrant 4,12.0,4.0,9–12
47,78.0,1,680.199999964243,1,Task,image_125.jpg,large,red,Quadrant 1,32.0,1.0,29-32
47,79.0,1,1131.1000000119093,1,Task,image_85.jpg,medium,red,Quadrant 1,39.0,1.0,37-40
